X,Y,Z
21,7,160.6566
21,8,116.1478
21,9,118.1078
21,10,141.7946
21,11,65.56351
21,12,48.84066
21,13,23.13864
21,14,18.12932
21,15,10.28531
21,16,6.029663
21,17,6.044627
21,18,5.694764
21,19,3.739085
21,20,3.896037
21,21,0
21,22,0
21,23,0
22,0,0
22,1,0
22,2,19.58994
22,3,42.30355
22,4,96.26777
22,5,187.1207
22,6,179.6626
22,7,221.3898
22,8,154.2617
22,9,142.1604
22,10,148.5737
22,11,67.17937
22,12,40.69044
22,13,39.74512
22,14,26.10166
22,15,14.48469
22,16,8.65873
22,17,3.896037
22,18,3.571392
22,19,3.896037
22,20,3.896037
22,21,3.896037
22,22,1.077756
22,23,0
23,0,0.001229679
23,1,3.008948
23,2,5.909858
23,3,33.50574
23,4,104.3341
23,5,152.2165
23,6,198.1988
23,7,191.841
23,8,228.7349
23,9,168.1041
23,10,144.2759
23,11,110.7436
23,12,57.65214
23,13,42.63504
23,14,27.91891
23,15,15.41052
23,16,8.056102
23,17,3.90283
23,18,3.879774
23,19,3.936718
23,20,3.968634
23,21,0.1236256
23,22,3.985531
23,23,-0.1835741
24,0,0
24,1,5.626141
24,2,7.676256
24,3,63.16226
24,4,45.99762
24,5,79.56688
24,6,227.311
24,7,203.9287
24,8,172.5618
24,9,177.1462
24,10,140.4554
24,11,123.9905
24,12,110.346
24,13,65.12319
24,14,34.31887
24,15,24.5278
24,16,9.561069
24,17,3.334991
24,18,5.590495
24,19,5.487353
24,20,5.909499
24,21,5.868994
24,22,5.833817
24,23,3.568177
